COD_ESTACION;NOM_ESTACION;FECHA;CONTAMINANTE;MEDICION
03009003;OLIVER;09/01/1997;NO;14
03009003;OLIVER;09/01/1997;NO2;10
03009003;OLIVER;09/01/1997;SO2;12
03009003;OLIVER;09/01/1997;O3;57
03009003;OLIVER;09/01/1997;PST;
03009003;OLIVER;09/01/1997;PB;0,09
03009003;OLIVER;09/01/1997;NOX;31
03009003;OLIVER;10/01/1997;CO;1,1
03009003;OLIVER;10/01/1997;NO;14
03009003;OLIVER;10/01/1997;NO2;19
03009003;OLIVER;10/01/1997;SO2;15
03009003;OLIVER;10/01/1997;O3;40
03009003;OLIVER;10/01/1997;PST;90
03009003;OLIVER;10/01/1997;PB;0,22
03009003;OLIVER;10/01/1997;NOX;39
03009003;OLIVER;11/01/1997;CO;1,2
03009003;OLIVER;11/01/1997;NO;32
03009003;OLIVER;11/01/1997;NO2;24
03009003;OLIVER;11/01/1997;SO2;19
03009003;OLIVER;11/01/1997;O3;25
03009003;OLIVER;11/01/1997;PST;105
03009003;OLIVER;11/01/1997;PB;0,13
03009003;OLIVER;11/01/1997;NOX;72
03009003;OLIVER;12/01/1997;CO;1
03009003;OLIVER;12/01/1997;NO;36
03009003;OLIVER;12/01/1997;NO2;20
03009003;OLIVER;12/01/1997;SO2;13
03009003;OLIVER;12/01/1997;O3;20
03009003;OLIVER;12/01/1997;PST;88
03009003;OLIVER;12/01/1997;PB;0,15
03009003;OLIVER;12/01/1997;NOX;75
03009003;OLIVER;13/01/1997;CO;0,7
03009003;OLIVER;13/01/1997;NO;29
03009003;OLIVER;13/01/1997;NO2;27
03009003;OLIVER;13/01/1997;SO2;29
03009003;OLIVER;13/01/1997;O3;24
03009003;OLIVER;13/01/1997;PST;103
03009003;OLIVER;13/01/1997;PB;0,13
03009003;OLIVER;13/01/1997;NOX;71
03009003;OLIVER;14/01/1997;CO;1,1
03009003;OLIVER;14/01/1997;NO;23
03009003;OLIVER;14/01/1997;NO2;41
03009003;OLIVER;14/01/1997;SO2;22
03009003;OLIVER;14/01/1997;O3;19
03009003;OLIVER;14/01/1997;PST;115
03009003;OLIVER;14/01/1997;PB;0,13
03009003;OLIVER;14/01/1997;NOX;77
03009003;OLIVER;15/01/1997;CO;1
03009003;OLIVER;15/01/1997;NO;23
03009003;OLIVER;15/01/1997;NO2;31
03009003;OLIVER;15/01/1997;SO2;51
03009003;OLIVER;15/01/1997;O3;29
03009003;OLIVER;15/01/1997;PST;119
03009003;OLIVER;15/01/1997;PB;0,06
03009003;OLIVER;15/01/1997;NOX;67
03009003;OLIVER;16/01/1997;CO;1,2
03009003;OLIVER;16/01/1997;NO;25
03009003;OLIVER;16/01/1997;NO2;26
03009003;OLIVER;16/01/1997;SO2;24
03009003;OLIVER;16/01/1997;O3;19
03009003;OLIVER;16/01/1997;PST;97
03009003;OLIVER;16/01/1997;PB;0,1
03009003;OLIVER;16/01/1997;NOX;65
03009003;OLIVER;17/01/1997;CO;1,2
03009003;OLIVER;17/01/1997;NO;35
03009003;OLIVER;17/01/1997;NO2;26
